"6_yr_median_earnings","10_yr_median_earnings","school_name","unitid","total_enrollment"
25386,34866,Cortiva Institute,128896,202
49165,75001,Connecticut College,128902,1948
41103,42914,Porter & Chester Institute of Hamden,129002,426
63322,73997,University of Connecticut,129020,27003
40230,43596,Goodwin University,129154,3158
36485,38683,Lincoln Technical Institute-East Windsor,129181,973
47289,56469,Eastern Connecticut State University,129215,4082
73693,88794,Fairfield University,129242,6019
0,30900,Paul Mitchell the School-North Haven,129349,161
35849,41344,Connecticut State Community College,129367,2395
83054,102051,Rensselaer at Hartford,129428,115
25543,28710,American Institute-West Hartford,129482,369
0,0,Hartford International University for Religion and Peace,129491,92
42581,60823,University of Hartford,129525,5732
0,0,Holy Apostles College and Seminary,129534,719
35330,39115,Mitchell College,129774,539
36485,38683,Lincoln Technical Institute-New Britain,129923,638
46838,44444,New England Tractor Trailer Training School of Connecticut,129932,314
49829,60126,University of New Haven,129941,8819
0,0,Paier College,130110,221
37807,41588,Porter & Chester Institute,130174,2146
31401,38696,Post University,130183,17034
65744,83759,Quinnipiac University,130226,8788
63925,75059,Sacred Heart University,130253,10721
52053,59908,University of Saint Joseph,130314,1992
45422,55043,Southern Connecticut State University,130493,8889
67628,90779,Trinity College,130590,2205
0,0,United States Coast Guard Academy,130624,1037
60385,73897,Wesleyan University,130697,3253
45997,59115,Western Connecticut State University,130776,4417
81765,100533,Yale University,130794,14776
0,72380,Margaret H Rollins School of Nursing at Beebe Medical Center,130837,51
27702,30429,Dawn Career Institute LLC,130873,308
35336,41448,Delaware Technical Community College-Terry,130907,11726
37503,49307,Delaware State University,130934,5826
58846,72950,University of Delaware,130943,24039
45097,59892,Goldey-Beacom College,130989,1012
25058,27420,Schilling-Douglas School of Hair Design,131061,185
49635,53844,Wilmington University,131113,14020
61328,77370,American University,131159,13885
63217,73250,The Catholic University of America,131283,4968
36358,44236,University of the District of Columbia,131399,3577
0,0,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,131405,73
36578,43101,Gallaudet University,131450,1322
71607,90873,George Washington University,131469,25939
83222,103494,Georgetown University,131496,20984
47379,63066,Howard University,131520,12886
36582,40092,Strayer University-District of Columbia,131803,362
0,0,National Conservatory of Dramatic Arts,131830,18
38533,53804,Trinity Washington University,131876,1895
0,0,Wesley Theological Seminary,131973,454
37819,38560,Atlantic Technical College,132374,2832
31489,42836,Baptist University of Florida,132408,410
47637,55966,Barry University,132471,6958
28282,38518,Bethune-Cookman University,132602,2727
41427,49006,Lynn University,132657,3520
31974,31683,North Florida Technical College,132675,45
32437,37195,Eastern Florida State College,132693,13114
33772,41939,Broward College,132709,30057
32168,41544,Albizu University-Miami,132842,864
33267,38203,College of Central Florida,132851,5483
35649,40596,Johnson University Florida,132879,155
47137,58308,University of Central Florida,132903,68346
31469,36349,Charlotte Technical College,132976,481
32129,37378,Chipola College,133021,1826
35937,36853,Lorenzo Walker Technical College,133155,675
32933,37096,Daytona State College,133386,11584
34115,34421,South University-West Palm Beach,133465,528
37505,51819,Eckerd College,133492,1993
37028,43421,Florida SouthWestern State College,133508,14326
29809,34782,Edward Waters University,133526,1181
65391,84131,Embry-Riddle Aeronautical University-Daytona Beach,133553,10271
36153,44349,Florida Agricultural and Mechanical University,133650,9215
45647,56746,Florida Atlantic University,133669,29592
36362,42244,Florida State College at Jacksonville,133702,20363
41963,49483,Flagler College,133711,2623
42430,43445,Florida College,133809,622
34027,34098,Concorde Career Institute-Jacksonville,133845,598
33128,35442,Concorde Career Institute-Miramar,133854,317
33985,36288,Concorde Career Institute-Tampa,133863,473
63230,72282,AdventHealth University,133872,1610
41941,43137,Florida Institute of Technology,133881,8315
47768,60249,Florida International University,133951,55609
40277,42508,The College of the Florida Keys,133960,920
28943,36624,Florida Memorial University,133979,1137
27999,28928,Florida Career College-Miami,133997,332
16915,26752,Florida School of Massage,134024,55
47749,55294,Florida Southern College,134079,3281
49814,61675,Florida State University,134097,44161
56398,71588,University of Florida,134130,55211
19581,23091,Fort Pierce Beauty Academy,134228,31
31917,38219,Full Sail University,134237,26737
35230,35234,George Stone Technical College,134291,663
47074,52312,George T Baker Aviation Technical College,134307,893
33651,38359,Gulf Coast State College,134343,4694
37719,42267,Key College,134422,23
34101,40782,Hillsborough Community College,134495,19504
25150,39863,Hobe Sound Bible College,134510,170
20710,21386,Hollywood Institute of Beauty Careers,134529,299
27841,29204,Cortiva Institute,134574,158
33822,38315,Indian River State College,134608,14862
22127,19824,International Academy,134714,396
61991,68010,Jacksonville University,134945,3837
37447,39696,Keiser University-Ft Lauderdale,135081,19020
15068,16879,La Belle Beauty School,135142,238
33237,37894,Florida Gateway College,135160,2706
30853,32793,Lake Technical College,135179,744
33193,39876,Lake-Sumter State College,135188,4460
36467,40082,Fort Myers Technical College,135267,562
29712,30413,Lively Technical College,135276,1430
30724,34107,Lindsey Hopkins Technical College,135294,476
22528,18342,Loraines Academy & Spa,135337,103
39300,47003,Luther Rice College & Seminary,135364,581
35254,40318,State College of Florida-Manatee-Sarasota,135391,8588
37820,38129,Manatee Technical College,135407,1054
34550,39813,Traviss Technical College,135522,337
26962,0,Merryfield Academy,135559,63
41545,46989,Trinity International University-Florida,135610,120
35651,35014,Miami Lakes Educational Center and Technical College,135647,850
33107,40654,Miami Dade College,135717,47245
61508,75328,University of Miami,135726,19402
32968,33350,Orange Technical College-South Campus,135735,2310
26450,34949,Paul Mitchell the School-Jacksonville,136109,124
32723,33929,North Florida College,136145,1127
46546,56343,University of North Florida,136172,16406
58153,59209,Nova Southeastern University,136215,20948
33606,39664,Northwest Florida State College,136233,4898
27013,36650,Orange Technical College,136303,142
42366,49232,Palm Beach Atlantic University,136330,3828
33729,41923,Palm Beach State College,136358,24223
34724,39903,Pasco-Hernando State College,136400,9202
32495,36739,Pensacola State College,136473,7981
30856,34627,Pinellas Technical College-Clearwater,136491,645
35602,40624,Polk State College,136516,8180
33574,35997,Radford M Locklin Technical College,136659,425
0,0,Saint Vincent de Paul Regional Seminary,136701,137
31904,33484,Ridge Technical College,136765,403
39650,43325,Ringling College of Art and Design,136774,1705
30120,37543,Robert Morgan Educational Center and Technical College,136826,805
48239,58295,Rollins College,136950,3029
33009,33784,First Coast Technical College,137023,373
41619,48364,Saint Leo University,137032,10242
36498,42557,St Petersburg College,137078,23501
31799,36188,Pinellas Technical College-St. Petersburg,137087,646
34919,41631,Santa Fe College,137096,12729
36094,40621,Suncoast Technical College,137120,1138
35589,41733,Seminole State College of Florida,137209,14323
32244,33166,Sheridan Technical College,137245,1475
0,0,St. John Vianney College Seminary,137272,51
35537,41728,Saint Johns River State College,137281,6434
32974,39990,South Florida State College,137315,2892
48328,57743,University of South Florida,137351,49600
44435,54272,St. Thomas University,137476,6370
44792,51642,Stetson University,137546,3928
36314,46744,Southeastern University,137564,10044
16768,19359,Bene's Career Academy,137591,244
26938,31778,Riveroak Technical College,137713,187
31904,37561,Tallahassee Community College,137759,11266
0,0,Talmudic College of Florida,137777,34
48397,59436,The University of Tampa,137847,10566
35988,27609,Big Bend Technical College,137856,227
30410,28254,Tom P. Haney Technical College,137865,424
33640,37275,Trinity Baptist College,137953,350
29914,32465,Trinity College of Florida,137962,204
32638,40594,Valencia College,138187,43370
39589,46086,Warner University,138275,849
29149,32320,Florida Panhandle Technical College,138284,306
37691,45606,Webber International University,138293,1133
41436,39080,Rasmussen University-Florida,138309,8620
42204,49137,University of West Florida,138354,13521
27166,25145,Orange Technical College-West Campus,138372,1569
34195,41656,William T McFatter Technical College,138479,811
31429,31858,Orange Technical College-East Campus,138488,2132
30652,34279,Withlacoochee Technical College,138497,383
35495,34996,Abraham Baldwin Agricultural College,138558,3647
41382,56274,Agnes Scott College,138600,1114
28375,27065,Interactive College of Technology-Chamblee,138655,543
28375,27065,Interactive College of Technology-Morrow,138664,93
26734,30541,Albany Technical College,138682,2577
35579,40674,Albany State University,138716,6334
30337,38475,Andrew College,138761,247
21399,23686,Georgia Career Institute,138822,593
27097,30350,Atlanta Technical College,138840,3125
36410,38740,Point University,138868,2015
26849,33252,Atlanta Metropolitan State College,138901,1435
0,0,Atlanta's John Marshall Law School,138929,342
24924,25301,Atlanta School of Massage,138938,333
28097,42712,Clark Atlanta University,138947,4000
29531,33523,Augusta Technical College,138956,3970
45014,53800,Berry College,139144,2360
21108,35236,Beulah Heights University,139153,371
41664,54003,Brenau University,139199,2704
35732,42009,Brewton-Parker College,139205,911
35382,39318,College of Coastal Georgia,139250,3147
32803,35479,West Georgia Technical College,139278,6140
41633,49179,Clayton  State University,139311,5847
0,0,Columbia Theological Seminary,139348,158
28884,34238,Columbus Technical College,139357,3134
39190,44544,Columbus State University,139366,7479
33044,35759,Georgia Northwestern Technical College,139384,6141
39570,50412,Covenant College,139393,886
37491,40251,Dalton State College,139463,4527
17765,21586,Pro Way Hair School,139506,58
34115,34421,South University-Savannah,139579,722
30593,37174,East Georgia State College,139621,1873
37595,38208,Emmanuel University,139630,850
74980,80137,Emory University,139658,14841
37516,43184,Georgia Highlands College,139700,4768
28649,36666,Fort Valley State University,139719,2605
64449,60726,Grady Health System Professional Schools,139746,61
89432,102772,Georgia Institute of Technology-Main Campus,139755,45296
42047,48757,Georgia Southwestern State University,139764,3070
50644,58140,Georgia College & State University,139861,6315
44423,53236,Georgia Southern University,139931,25481
37844,47384,Georgia State University,139940,36516
57565,68726,University of Georgia,139959,40607
33163,37871,Gordon State College,139968,3135
30708,36104,Southern Crescent Technical College,139986,5018
34466,42636,Gupton Jones College of Funeral Service,139995,486
33273,31422,Gwinnett College-Lilburn,140003,130
35660,45025,Gwinnett Technical College,140012,8450
0,0,Interdenominational Theological Center,140146,193
46599,51745,LaGrange College,140234,679
34471,37623,Lanier Technical College,140243,5599
37368,47397,Life University,140252,2753
31998,37138,Chattahoochee Technical College,140331,9017
35295,36909,Herzing University-Atlanta,140340,663
50231,58354,Mercer University,140447,8889
38267,52889,Morehouse College,140553,2567
0,0,Morehouse School of Medicine,140562,891
0,0,Morris Brown College,140571,253
32856,32932,North Georgia Technical College,140678,2449
42691,55232,Oglethorpe University,140696,1491
25240,33338,Paine College,140720,310
43761,49130,Piedmont University,140818,1843
74706,106192,Miami Ad School-Atlanta,140827,67
40411,46541,Reinhardt University,140872,1141
31124,33018,Savannah Technical College,140942,3642
34110,45954,Savannah College of Art and Design,140951,16414
27494,37981,Savannah State University,140960,2945
41860,44604,Shorter University,140988,1515
28744,30364,South Georgia Technical College,141006,1799
45676,59993,Spelman College,141060,3102
45305,49716,Thomas University,141167,1531
33131,36630,Toccoa Falls College,141185,2046
39193,46700,Truett McConnell University,141237,2796
28338,30864,Wiregrass Georgia Technical College,141255,4003
39416,49361,Valdosta State University,141264,10209
35630,44317,Wesleyan College,141325,660
41000,49587,University of West Georgia,141334,11893
36389,47195,Young Harris College,141361,1511
48660,52343,Chaminade University of Honolulu,141486,2369
37204,47856,University of Hawaii at Hilo,141565,2977
45701,57624,University of Hawaii at Manoa,141574,19074
17489,25235,Hawaii Institute of Hair Design,141608,52
48773,59593,Hawaii Pacific University,141644,4876
36127,45105,Honolulu Community College,141680,3069
38265,44599,Kapiolani Community College,141796,5828
31592,36868,Kauai Community College,141802,1308
33997,39899,Leeward Community College,141811,6221
28263,34453,University of Hawaii Maui College,141839,2472
44352,52075,University of Hawaii-West Oahu,141981,2913
30631,38439,Windward Community College,141990,2384
37283,43731,Carrington College-Boise,142054,403
32662,33140,Boise Bible College,142090,96
45251,51658,Boise State University,142115,26115
37934,42057,College of Eastern Idaho,142179,2333
41377,45608,Idaho State University,142276,12301
42602,54670,University of Idaho,142285,11507
42097,48473,The College of Idaho,142294,1082
42133,46001,Lewis-Clark State College,142328,3746
21804,26171,Aveda Institute-Twin Falls,142407,87
34391,40081,North Idaho College,142443,4296
45488,51719,Northwest Nazarene University,142461,1778
0,22209,Nathan Layne Institute of Cosmetology,142489,60
40447,53406,Brigham Young University-Idaho,142522,43023
35642,40916,College of Southern Idaho,142559,8096
0,0,Adler University,142832,1841
25368,34324,American Academy of Art College,142887,111
0,0,American Islamic College,142957,19
26742,40151,School of the Art Institute of Chicago,143048,3532
49849,62971,Augustana College,143084,2349
51237,58709,Aurora University,143118,5918
30872,36884,Southwestern Illinois College,143215,7188
0,0,Bethany Theological Seminary,143233,79
34022,37253,Black Hawk College,143279,3773
36665,46802,Blackburn College,143288,382
67602,72430,Blessing Rieman College of Nursing and Health Sciences,143297,167
59114,66852,Bradley University,143358,5552
19886,28378,Paul Mitchell the School-Tinley Park,143376,229
17987,24513,Cameo Beauty Academy,143464,100
18633,26970,Cannella School of Hair Design-Villa Park,143473,31
14597,18132,Cannella School of Hair Design-Chicago,143482,29
21868,29075,Cannella School of Hair Design-Chicago,143491,39
19302,26804,Capri Beauty College,143552,51
31149,35274,Carl Sandburg College,143613,1688
0,0,Catholic Theological Union at Chicago,143659,213
0,0,Midwestern University-Downers Grove,143853,2758
51817,56899,The Chicago School at Chicago,143978,1296
33805,42778,Chicago State University,144005,2317
0,0,Chicago Theological Seminary,144014,195
80870,91885,University of Chicago,144050,18339
22119,28467,City Colleges of Chicago-Kennedy-King College,144157,2237
26891,32427,City Colleges of Chicago-Malcolm X College,144166,7314
23378,31114,City Colleges of Chicago-Olive-Harvey College,144175,2101
30439,36484,City Colleges of Chicago-Harry S Truman College,144184,5289
31509,37962,City Colleges of Chicago-Richard J Daley College,144193,4787
29483,36531,City Colleges of Chicago-Harold Washington College,144209,5559
33808,41625,City Colleges of Chicago-Wilbur Wright College,144218,7508
32596,42195,Columbia College Chicago,144281,6646
44405,54089,Concordia University-Chicago,144351,5354
34443,34867,Danville Area Community College,144564,1924
14697,18077,Tricoci University of Beauty Culture,144573,142
54695,68751,DePaul University,144740,20917
25231,29779,Cosmetology & Spa Academy,144795,359
38925,46909,College of DuPage,144865,21939
21236,29963,East-West University,144883,529
42694,51989,Eastern Illinois University,144892,8857
39007,45516,Elgin Community College,144944,8910
52803,61462,Elmhurst University,144962,3731
42968,51641,Eureka College,144971,559
34254,36196,First Institute of Travel Inc.,145099,274
40654,41539,Fox College,145239,252
0,0,Garrett-Evangelical Theological Seminary,145275,280
18527,19219,Gem City College,145309,41
45435,58169,Governors State University,145336,4427
58704,63586,Graham Hospital School of Nursing,145354,43
40307,46827,Greenville University,145372,1088
29752,29032,G Skin & Beauty Institute,145406,378
20915,23568,Hair Professionals Career College,145424,62
22166,23412,Hair Professionals School of Cosmetology,145433,97
32793,33291,Hebrew Theological College,145497,160
33425,37928,Highland Community College,145521,1184
0,0,Rosalind Franklin University of Medicine and Science,145558,1940
53218,68740,University of Illinois Chicago,145600,33747
50222,63446,Benedictine University,145619,3123
0,0,Illinois College of Optometry,145628,481
64802,81054,University of Illinois Urbana-Champaign,145637,56916
56082,70871,Illinois Wesleyan University,145646,1527
32988,37366,Illinois Central College,145682,7044
40110,52575,Illinois College,145691,1029
34213,37533,Olney Central College,145707,869
70803,82592,Illinois Institute of Technology,145725,6943
50599,62117,Illinois State University,145813,20683
34932,40810,Illinois Valley Community College,145831,2371
0,0,Institute for Clinical Social Work,145886,119
29460,34096,John A Logan College,146205,3272
35052,38631,John Wood Community College,146278,1718
36334,42889,Joliet Junior College,146296,10212
45374,56313,Judson University,146339,973
33835,38767,Kankakee Community College,146348,2333
33095,38801,Kaskaskia College,146366,3370
32532,39657,Kishwaukee College,146418,2581
37757,54820,Knox College,146427,1058
22718,21949,Educators of Beauty College of Cosmetology-Peru,146454,28
36407,43424,College of Lake County,146472,11651
51324,61825,Lake Forest College,146481,1753
0,0,Lake Forest Graduate School of Management,146490,295
33693,38877,Lake Land College,146506,3742
74789,84522,Lakeview College of Nursing,146533,116
35365,37724,Lewis and Clark Community College,146603,3973
56095,66099,Lewis University,146612,6513
35416,43038,Lincoln Christian University,146667,258
33145,38479,Lincoln Land Community College,146685,4444
36485,38683,Lincoln College of Technology-Melrose Park,146700,1209
58411,71530,Loyola University Chicago,146719,16899
0,0,Lutheran School of Theology at Chicago,146728,133
62487,58743,Trinity College of Nursing & Health Sciences,146755,101
21758,29592,Steven Papageorge Hair Academy,146807,64
31406,34706,Generations College,146816,303
0,0,McCormick Theological Seminary,146977,162
36496,45143,McHenry County College,147004,8874
49439,58572,McKendree University,147013,1960
0,0,Meadville Theological School of Lombard College,147031,69
64709,69800,Methodist College,147129,456
43100,51262,Millikin University,147244,1807
43158,51110,Monmouth College,147341,767
40210,45399,Moody Bible Institute,147369,2410
34943,43892,Moraine Valley Community College,147378,10511
46238,63571,Morrison Institute of Technology,147396,67
34053,42406,Morton College,147411,3753
43562,45799,National Louis University,147536,7525
44332,58723,National University of Health Sciences,147590,498
25473,20303,Cosmetology Concepts Niles,147642,53
51762,60123,North Central College,147660,2695
49326,59572,North Park University,147679,2656
0,0,Northern Baptist Theological Seminary,147697,374
46113,57808,Northern Illinois University,147703,15649
76844,89363,Northwestern University,147767,23161
43801,52234,Northeastern Illinois University,147776,5756
38528,47852,Oakton College,147800,7645
18769,18890,Oehrlein School of Cosmetology,147819,36
49278,53213,Olivet Nazarene University,147828,3255
34215,38320,Parkland College,147916,5686
30388,36696,Prairie State College,148007,2680
0,0,Principia College,148016,323
20060,30341,Professional's Choice Hair Design Academy,148098,48
43331,50369,Quincy University,148131,1307
29814,35775,Rend Lake College,148256,2017
32459,38793,Richland Community College,148292,2075
34774,39158,Rock Valley College,148380,5861
45847,54794,Rockford University,148405,1181
42896,48712,Roosevelt University,148487,3725
47907,60327,Dominican University,148496,3196
86865,75194,Rush University,148511,2870
69519,72850,Saint Francis Medical Center College of Nursing,148575,371
56648,63926,University of St Francis,148584,3297
68248,86331,St. John's College-Department of Nursing,148593,94
50784,58656,Saint Xavier University,148627,3523
47432,57103,University of Illinois Springfield,148654,4198
35185,40458,Sauk Valley Community College,148672,1386
27902,32999,Shawnee Community College,148821,1174
31348,35723,St. Augustine College,148876,680
0,0,University of Saint Mary of the Lake,148885,204
29254,33763,Southeastern Illinois College,148937,1379
39136,37120,National Latino Education Institute,148955,
0,0,Spertus College,148982,99
34424,38386,Spoon River College,148991,1212
76111,77709,Saint Anthony College of Nursing,149028,242
18716,21463,Educators of Beauty College of Cosmetology-Sterling,149204,39
43087,53390,Southern Illinois University-Carbondale,149222,11107
46384,56346,Southern Illinois University-Edwardsville,149231,12519
19077,25559,Taylor Business Institute,149310,175
0,0,Telshe Yeshiva-Chicago,149329,90
27389,33680,South Suburban College,149365,3905
48107,55700,Trinity Christian College,149505,908
41545,46989,Trinity International University-Illinois,149514,1242
35001,41728,Triton College,149532,8616
24853,27084,University of Spa & Cosmetology Arts,149550,147
45704,47863,VanderCook College of Music,149639,263
39016,44788,Waubonsee Community College,149727,7491
43057,54163,Western Illinois University,149772,7643
50270,63756,Wheaton College,149781,2885
40035,48071,William Rainey Harper College,149842,12434
44396,48899,Anderson University,150066,1290
44394,51833,Ball State University,150136,19777
44271,48860,Bethel University,150145,1292
61627,77235,Butler University,150163,5525
39342,46945,Calumet College of Saint Joseph,150172,658
0,0,Christian Theological Seminary,150215,152
41363,43927,College of Court Reporting Inc,150251,186
0,0,Concordia Theological Seminary,150288,294
24828,22374,Tricoci University of Beauty Culture-Highland,150303,288
58476,70527,DePauw University,150400,1752
12608,19976,Don Roberts School of Hair Design,150428,16
35430,50797,Earlham College,150455,677
46734,53770,University of Evansville,150534,2016
45635,55376,Franklin College,150604,959
43218,51943,Goshen College,150668,768
41463,45411,Grace College and Theological Seminary,150677,2065
42876,53957,Hanover College,150756,1124
19563,26999,J Michael Harrold Beauty Academy,150765,116
41335,50416,Holy Cross College,150774,434
19526,22402,PJ's College of Cosmetology-Clarksville,150853,215
40702,46672,Huntington University,150941,1472
32680,37186,Ivy Tech Community College,150987,89705
42873,45872,Purdue University Fort Wayne,151102,9069
47173,55198,Indiana University-Indianapolis,151111,25979
46452,53610,University of Indianapolis,151263,5176
29717,47327,Indiana Institute of Technology,151290,2595
42323,47605,University of Southern Indiana,151306,9178
41047,48387,Indiana State University,151324,8658
42134,49917,Indiana University-Kokomo,151333,2846
41388,44947,Indiana University-South Bend,151342,4326
53417,63742,Indiana University-Bloomington,151351,47005
39714,43361,Indiana University-Northwest,151360,3198
42290,47596,Indiana University-Southeast,151379,3672
44827,47156,Indiana University-East,151388,3039
33081,38146,International Business College-Indianapolis,151467,167
14203,14236,Taylor Institute of Cosmetology II,151564,43
24769,26446,Tricoci University of Beauty Culture-Lafayette,151607,100
42500,46396,Lincoln College of Technology-Indianapolis,151661,889
43024,51504,Manchester University,151777,1217
55704,58759,Marian University,151786,3701
51329,59986,Indiana Wesleyan University-Marion,151801,2603
25539,22544,Martin University,151810,187
0,0,Anabaptist Mennonite Biblical Seminary,151865,132
42193,44505,Mid-America College of Funeral Service,151962,352
16848,0,West Michigan College of Barbering and Beauty,152044,83
86210,99980,University of Notre Dame,152080,13105
43190,43283,Oakland City University,152099,880
16731,24039,PJ's College of Cosmetology-Richmond,152150,65
18345,23187,Ravenscroft Beauty College,152275,119
16631,22590,Rogers Academy of Hair Design,152309,93
85935,101253,Rose-Hulman Institute of Technology,152318,2188
47944,55362,University of Saint Francis-Fort Wayne,152336,1903
41863,43845,Saint Mary-of-the-Woods College,152381,1147
53470,59354,Saint Mary's College,152390,1519
0,0,Saint Meinrad School of Theology,152451,175
57337,65230,Saint Elizabeth School of Nursing,152497,144
45142,52198,Taylor University,152530,2221
53010,57165,Trine University,152567,4088
55216,63191,Valparaiso University,152600,2958
19807,20064,Vincennes Beauty College,152628,28
35834,41110,Vincennes University,152637,16773
52667,69952,Wabash College,152673,835
65078,71261,Allen College,152798,497
48338,54475,Briar Cliff University,152992,927
43572,49156,Buena Vista University,153001,1973
24838,28266,Capri College-Dubuque,153074,175
23433,29307,Capri College-Cedar Rapids,153083,142
49115,54317,Central College,153108,1169
49157,55396,Clarke University,153126,965
47136,57125,Coe College,153144,1264
39299,53460,Cornell College,153162,1074
39349,41018,Des Moines Area Community College,153214,21637
0,0,Divine Word College,153241,68
50551,52559,Dordt University,153250,1861
58233,71901,Drake University,153269,4685
44960,51190,University of Dubuque,153278,1776
31739,40562,Ellsworth Community College,153296,718
34653,42631,Emmaus Bible College,153302,206
34717,39060,Eastern Iowa Community College District,153311,7145
33372,40650,Faith Baptist Bible College and Theological Seminary,153320,448
40792,47361,Graceland University-Lamoni,153366,1237
47582,52824,Grand View University,153375,1827
49004,62830,Grinnell College,153384,1759
35488,37008,Orion Technical College,153427,75
39099,42849,Hawkeye Community College,153445,4787
17836,28724,American Hair Academy,153463,20
38540,40507,Indian Hills Community College,153472,3361
35830,42046,Iowa Central Community College,153524,5058
37209,43108,Iowa Lakes Community College,153533,1960
0,0,UnityPoint Health-Des Moines School of Radiologic Technology,153542,19
25884,25803,Iowa School of Beauty-Des Moines,153597,77
53873,63386,Iowa State University,153603,29969
35628,42793,Iowa Western Community College,153630,5938
52696,64762,University of Iowa,153658,30015
37525,41016,Kirkwood Community College,153737,12406
21855,25575,La James International College-Cedar Falls,153746,39
24808,27401,La James International College-Johnston,153764,57
20024,27484,La James College of Hairstyling and Cosmetology,153773,59
20209,26679,La James International College-Ft Dodge,153782,21
46069,58289,Loras College,153825,1299
49541,59850,Luther College,153834,1610
26468,27981,Maharishi International University,153861,2673
