UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,DEBT_ALL_STGP_ANY_N,DEBT_ALL_STGP_ANY_MEAN,DEBT_ALL_STGP_ANY_MDN,DEBT_ALL_STGP_EVAL_N,DEBT_ALL_STGP_EVAL_MEAN,DEBT_ALL_STGP_EVAL_MDN,DEBT_ALL_PP_ANY_N,DEBT_ALL_PP_ANY_MEAN,DEBT_ALL_PP_ANY_MDN,DEBT_ALL_PP_EVAL_N,DEBT_ALL_PP_EVAL_MEAN,DEBT_ALL_PP_EVAL_MDN,DEBT_MALE_STGP_ANY_N,DEBT_MALE_STGP_ANY_MEAN,DEBT_MALE_STGP_ANY_MDN,DEBT_MALE_STGP_EVAL_N,DEBT_MALE_STGP_EVAL_MEAN,DEBT_MALE_STGP_EVAL_MDN,DEBT_MALE_PP_ANY_N,DEBT_MALE_PP_ANY_MEAN,DEBT_MALE_PP_ANY_MDN,DEBT_MALE_PP_EVAL_N,DEBT_MALE_PP_EVAL_MEAN,DEBT_MALE_PP_EVAL_MDN,DEBT_NOTMALE_STGP_ANY_N,DEBT_NOTMALE_STGP_ANY_MEAN,DEBT_NOTMALE_STGP_ANY_MDN,DEBT_NOTMALE_STGP_EVAL_N,DEBT_NOTMALE_STGP_EVAL_MEAN,DEBT_NOTMALE_STGP_EVAL_MDN,DEBT_NOTMALE_PP_ANY_N,DEBT_NOTMALE_PP_ANY_MEAN,DEBT_NOTMALE_PP_ANY_MDN,DEBT_NOTMALE_PP_EVAL_N,DEBT_NOTMALE_PP_EVAL_MEAN,DEBT_NOTMALE_PP_EVAL_MDN,DEBT_PELL_STGP_ANY_N,DEBT_PELL_STGP_ANY_MEAN,DEBT_PELL_STGP_ANY_MDN,DEBT_PELL_STGP_EVAL_N,DEBT_PELL_STGP_EVAL_MEAN,DEBT_PELL_STGP_EVAL_MDN,DEBT_PELL_PP_ANY_N,DEBT_PELL_PP_ANY_MEAN,DEBT_PELL_PP_ANY_MDN,DEBT_PELL_PP_EVAL_N,DEBT_PELL_PP_EVAL_MEAN,DEBT_PELL_PP_EVAL_MDN,DEBT_NOPELL_STGP_ANY_N,DEBT_NOPELL_STGP_ANY_MEAN,DEBT_NOPELL_STGP_ANY_MDN,DEBT_NOPELL_STGP_EVAL_N,DEBT_NOPELL_STGP_EVAL_MEAN,DEBT_NOPELL_STGP_EVAL_MDN,DEBT_NOPELL_PP_ANY_N,DEBT_NOPELL_PP_ANY_MEAN,DEBT_NOPELL_PP_ANY_MDN,DEBT_NOPELL_PP_EVAL_N,DEBT_NOPELL_PP_EVAL_MEAN,DEBT_NOPELL_PP_EVAL_MDN,DEBT_ALL_PP_ANY_MDN10YRPAY,DEBT_ALL_PP_EVAL_MDN10YRPAY,DEBT_ALL_STGP_ANY_MDN10YRPAY,DEBT_ALL_STGP_EVAL_MDN10YRPAY,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,BBRR2_FED_COMP_N,BBRR2_FED_COMP_DFLT,BBRR2_FED_COMP_DLNQ,BBRR2_FED_COMP_FBR,BBRR2_FED_COMP_DFR,BBRR2_FED_COMP_NOPROG,BBRR2_FED_COMP_MAKEPROG,BBRR2_FED_COMP_PAIDINFULL,BBRR2_FED_COMP_DISCHARGE,BBRR3_FED_COMP_N,BBRR3_FED_COMP_DFLT,BBRR3_FED_COMP_DLNQ,BBRR3_FED_COMP_FBR,BBRR3_FED_COMP_DFR,BBRR3_FED_COMP_NOPROG,BBRR3_FED_COMP_MAKEPROG,BBRR3_FED_COMP_PAIDINFULL,BBRR3_FED_COMP_DISCHARGE,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR,BBRR1_FED_COMP_N,BBRR1_FED_COMP_DFLT,BBRR1_FED_COMP_DLNQ,BBRR1_FED_COMP_FBR,BBRR1_FED_COMP_DFR,BBRR1_FED_COMP_NOPROG,BBRR1_FED_COMP_MAKEPROG,BBRR1_FED_COMP_PAIDINFULL,BBRR1_FED_COMP_DISCHARGE,BBRR4_FED_COMP_N,BBRR4_FED_COMP_DFLT,BBRR4_FED_COMP_DLNQ,BBRR4_FED_COMP_FBR,BBRR4_FED_COMP_DFR,BBRR4_FED_COMP_NOPROG,BBRR4_FED_COMP_MAKEPROG,BBRR4_FED_COMP_PAIDINFULL,BBRR4_FED_COMP_DISCHARGE,DISTANCE,EARN_COUNT_NWNE_5YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR,EARN_GT_THRESHOLD_5YR,EARN_COUNT_PELL_WNE_5YR,EARN_PELL_WNE_MDN_5YR,EARN_COUNT_NOPELL_WNE_5YR,EARN_NOPELL_WNE_MDN_5YR,EARN_COUNT_MALE_WNE_5YR,EARN_MALE_WNE_MDN_5YR,EARN_COUNT_NOMALE_WNE_5YR,EARN_NOMALE_WNE_MDN_5YR,EARN_COUNT_HIGH_CRED_5YR,EARN_IN_STATE_5YR,EARN_AVG_1YR_5YR
110662,001315,University of California-Los Angeles,Public,1,0301,Natural Resources Conservation and Research.,3,Bachelor's Degree,77,104,67,16149,18000,66,16132,17806,24,PS,39463,24,PS,39463,17,PS,PS,17,PS,PS,PS,PS,NA,PS,PS,PS,50,15834,PS,49,15988,PS,PS,PS,NA,PS,PS,PS,39,PS,15000,39,PS,15000,PS,PS,PS,PS,PS,PS,28,19191,19500,27,19597,19500,PS,PS,PS,PS,PS,PS,469,469,191,189,2,46,52,36898,1,42,47,41565,56,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.40 - 0.59,<=0.20,55,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,38,24029,26,36734,16,30346,49,31520,41,53583,36,31,26,55209,PS,PS,PS,PS,33,55144,2,65,31944,35,PS,59,1,39,69142,PS,28,69069,PS,PS,PS,PS,31,73048,PS,36,50,PS,PS,0.40 - 0.59,PS,PS,0.20 - 0.39,PS,PS,55,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.40 - 0.59,<=0.20,1,1,48,80496,47,31,80860,16,79284,PS,PS,PS,PS,PS,44,56220
110662,001315,University of California-Los Angeles,Public,1,0501,Area Studies.,3,Bachelor's Degree,100,92,45,17958,17746,42,17586,17090,13,50353,NA,12,46774,PS,14,16488,PS,13,15276,PS,PS,PS,NA,PS,PS,PS,31,18622,PS,29,18622,PS,PS,PS,NA,PS,PS,PS,34,18368,PS,32,17914,PS,PS,PS,PS,PS,PS,PS,11,16691,PS,10,16536,PS,PS,PS,PS,PS,PS,PS,PS,PS,188,181,13,23,44,22438,5,28,36,33993,51,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,47,PS,PS,PS,PS,PS,0.20 - 0.39,0.20 - 0.39,PS,PS,PS,PS,PS,PS,PS,PS,PS,43,46048,32,28,33,43630,PS,PS,PS,PS,34,49325,8,31,23819,PS,PS,25,8,43,55626,PS,34,50527,PS,PS,PS,PS,35,62065,PS,33,36,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,47,PS,PS,0.20 - 0.39,PS,PS,PS,0.20 - 0.39,PS,1,5,48,60726,39,PS,PS,PS,PS,PS,PS,PS,PS,PS,36,42272.5
110662,001315,University of California-Los Angeles,Public,1,0502,"Ethnic, Cultural Minority, Gender, and Group Studies.",3,Bachelor's Degree,343,337,260,15722,15000,257,14693,14820,46,21407,7645,43,21213,7636,67,16322,15447,65,15901,15900,10,16191,NA,PS,PS,PS,193,15514,15000,192,14284,14690,36,22856,NA,PS,PS,PS,229,15657,14967,227,14501,14620,31,11488,PS,30,11807,PS,31,16208,15000,30,16143,15000,15,41906,PS,13,42921,PS,91,91,159,157,13,135,210,26296,8,119,173,28682,233,<=0.05,<=0.05,0.15 - 0.19,0.20 - 0.24,0.15 - 0.19,0.20 - 0.24,0.15 - 0.19,<=0.05,241,<=0.05,<=0.05,0.15 - 0.19,0.25 - 0.29,0.10 - 0.14,0.25 - 0.29,0.10 - 0.14,<=0.05,PS,PS,PS,PS,54,25715,172,30641,159,40016,133,109,142,40016,17,37349,36,45653,123,39444,26,228,29914,114,PS,216,11,162,51490,117,144,51254,19,51310,38,54709,125,49039,34,149,198,<=0.10,<=0.10,0.50 - 0.59,0.10 - 0.19,0.10 - 0.19,0.10 - 0.19,<=0.10,<=0.10,242,<=0.05,<=0.05,0.40 - 0.44,0.15 - 0.19,0.05 - 0.09,0.10 - 0.14,0.15 - 0.19,<=0.05,1,15,184,61195,147,165,60653,20,70818,41,71421,143,59393,58,168,45554.5
110662,001315,University of California-Los Angeles,Public,1,1101,"Computer and Information Sciences, General.",3,Bachelor's Degree,NA,NA,PS,16058,15248,PS,15762,15156,PS,PS,43439,PS,PS,42366,PS,16035,15066,PS,15782,14993,PS,PS,NA,PS,PS,PS,PS,PS,17944,PS,PS,17194,PS,PS,NA,PS,PS,PS,PS,PS,14920,PS,PS,14920,PS,PS,PS,PS,PS,PS,PS,16095,17194,PS,15842,16333,PS,PS,PS,PS,PS,PS,517,504,162,161,5,112,117,117100,4,96,100,110878,83,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.40 - 0.59,<=0.20,82,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.60 - 0.79,<=0.20,82,126524,61,152051,121,138491,23,124240,109,147842,97,96,66,146604,43,146340,87,158624,22,137690,2,144,136099,130,PS,100,2,108,164612,PS,64,164250,43,165982,85,168154,22,150544,PS,80,103,<=0.10,<=0.10,0.30 - 0.39,<=0.10,<=0.10,0.10 - 0.19,0.30 - 0.39,<=0.10,82,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.60 - 0.79,<=0.20,0,7,102,218770,102,59,240104,44,204856,83,234947,20,184253,PS,75,177434.5
110662,001315,University of California-Los Angeles,Public,1,1402,"Aerospace, Aeronautical and Astronautical Engineering.",3,Bachelor's Degree,56,58,41,PS,19000,41,PS,19000,13,PS,NA,13,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,27,PS,PS,27,PS,PS,PS,PS,PS,PS,PS,PS,14,PS,PS,14,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,201,201,2,28,31,66724,0,17,19,60072,27,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,19,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,21,72694,17,19,PS,PS,PS,PS,19,69561,PS,PS,3,28,71068,25,PS,22,0,24,93464,PS,PS,PS,PS,PS,19,90934,PS,PS,PS,18,37,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,19,PS,PS,PS,PS,PS,PS,PS,PS,1,1,19,97069,17,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,84068.5
110662,001315,University of California-Los Angeles,Public,1,1405,Biomedical/Medical Engineering.,3,Bachelor's Degree,66,82,35,PS,15000,35,PS,14500,10,PS,NA,10,PS,PS,25,PS,PS,25,PS,PS,PS,PS,NA,PS,PS,PS,10,PS,PS,10,PS,PS,PS,PS,NA,PS,PS,PS,12,PS,PS,12,PS,PS,PS,PS,PS,PS,PS,PS,23,PS,PS,23,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,159,154,4,PS,PS,PS,2,26,27,61020,31,PS,PS,PS,PS,PS,PS,0.20 - 0.39,PS,26,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,35,72328,24,22,17,72408,PS,PS,19,64330,PS,PS,1,31,57874,24,PS,27,1,33,97038,PS,PS,PS,18,102568,17,93789,PS,PS,PS,28,22,PS,PS,PS,PS,PS,PS,PS,PS,26,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,1,1,33,114571,33,PS,PS,PS,PS,PS,PS,PS,PS,PS,27,86222.5
110662,001315,University of California-Los Angeles,Public,1,1407,Chemical Engineering.,3,Bachelor's Degree,74,83,56,PS,18205,56,PS,17000,15,PS,NA,15,PS,PS,38,PS,PS,38,PS,PS,PS,PS,NA,PS,PS,PS,18,PS,PS,18,PS,PS,PS,PS,NA,PS,PS,PS,32,PS,16500,32,PS,16424,PS,PS,PS,PS,PS,PS,24,PS,21727,24,PS,21727,PS,PS,PS,PS,PS,PS,PS,PS,193,180,4,44,52,56206,2,47,53,63005,56,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.40 - 0.59,<=0.20,53,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.60 - 0.79,<=0.20,39,73279,24,79185,40,76504,23,75979,60,79621,53,51,29,80622,31,77631,42,79426,18,79248,4,63,76680,56,PS,51,2,52,92741,PS,24,95601,29,90859,36,91216,16,92496,PS,42,42,PS,PS,0.40 - 0.59,PS,PS,PS,0.20 - 0.39,PS,53,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.60 - 0.79,<=0.20,1,1,51,105166,49,24,111494,27,100825,35,99965,16,118992,PS,46,90923
110662,001315,University of California-Los Angeles,Public,1,1408,Civil Engineering.,3,Bachelor's Degree,87,70,44,PS,19444,44,PS,17529,10,PS,NA,10,PS,PS,28,PS,PS,28,PS,PS,PS,PS,NA,PS,PS,PS,16,PS,PS,16,PS,PS,PS,PS,NA,PS,PS,PS,22,PS,20635,22,PS,19689,PS,PS,PS,PS,PS,PS,22,PS,14750,22,PS,14750,PS,PS,PS,PS,PS,PS,PS,PS,206,186,1,37,44,62929,1,42,44,68592,50,PS,PS,PS,PS,PS,0.20 - 0.39,0.40 - 0.59,PS,43,PS,PS,PS,PS,PS,0.20 - 0.39,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,54,79279,39,41,37,75253,17,80372,35,76061,19,80817,2,44,75510,40,PS,45,3,56,90288,PS,39,89864,16,89442,36,90761,20,87698,PS,45,40,PS,PS,0.20 - 0.39,PS,PS,0.20 - 0.39,PS,PS,43,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,1,3,53,102084,52,PS,PS,PS,PS,34,101809,20,102462,PS,43,88797
110662,001315,University of California-Los Angeles,Public,1,1410,"Electrical, Electronics and Communications Engineering.",3,Bachelor's Degree,157,144,86,PS,17877,86,PS,16979,10,PS,NA,10,PS,PS,75,PS,PS,75,PS,PS,PS,PS,NA,PS,PS,PS,11,PS,PS,11,PS,PS,PS,PS,NA,PS,PS,PS,55,PS,18541,55,PS,17338,PS,PS,PS,PS,PS,PS,31,PS,16450,31,PS,16450,PS,PS,PS,PS,PS,PS,PS,PS,190,180,1,59,66,78867,7,70,74,83915,55,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.40 - 0.59,<=0.20,63,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.40 - 0.59,<=0.20,64,83289,26,90793,PS,PS,PS,PS,81,87275,70,68,61,87970,20,88091,63,88578,17,85110,10,90,85369,76,PS,77,5,76,110760,PS,56,111297,20,109810,56,116431,20,101350,PS,73,73,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,63,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.40 - 0.59,<=0.20,1,3,80,127528,75,60,141039,20,123007,60,130904,20,121688,PS,76,106448.5
110662,001315,University of California-Los Angeles,Public,1,1419,Mechanical Engineering.,3,Bachelor's Degree,138,154,73,PS,17000,73,PS,16500,20,PS,29342,20,PS,29342,55,PS,PS,55,PS,PS,PS,PS,NA,PS,PS,PS,18,PS,PS,18,PS,PS,PS,PS,NA,PS,PS,PS,40,PS,18183,40,PS,18083,10,PS,PS,10,PS,PS,33,PS,15000,33,PS,15000,10,PS,PS,10,PS,PS,349,349,180,175,7,72,77,68857,2,59,63,67324,65,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,56,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.60 - 0.79,<=0.20,56,71064,29,90935,64,81866,19,70552,62,82663,50,52,34,76021,27,85698,47,77568,PS,PS,5,85,79016,78,PS,76,4,62,97701,PS,35,93757,28,99013,49,93871,PS,PS,PS,52,74,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,56,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.60 - 0.79,<=0.20,1,5,65,108947,61,34,107291,31,116183,PS,PS,PS,PS,16,55,93981.5
110662,001315,University of California-Los Angeles,Public,1,1601,"Linguistic, Comparative, and Related Language Studies and Services.",3,Bachelor's Degree,153,122,79,17061,15000,78,16367,15000,20,PS,14858,20,PS,14858,29,PS,17057,29,PS,17057,PS,PS,NA,PS,PS,PS,50,16863,14960,49,16479,15000,PS,PS,NA,PS,PS,PS,56,17825,16778,55,16973,16500,PS,PS,PS,PS,PS,PS,23,PS,14000,23,PS,14000,PS,PS,PS,PS,PS,PS,177,177,159,159,15,90,119,34901,10,72,103,27874,135,<=0.10,<=0.10,0.10 - 0.19,0.10 - 0.19,<=0.10,0.30 - 0.39,0.20 - 0.29,<=0.10,117,<=0.10,<=0.10,0.10 - 0.19,0.10 - 0.19,<=0.10,0.30 - 0.39,0.30 - 0.39,<=0.10,62,28039,PS,PS,29,24088,51,33366,104,41208,88,68,82,39629,22,57841,31,49721,73,40020,12,79,30524,40,PS,71,10,100,55469,68,78,45996,22,71741,33,55536,66,54550,PS,90,108,<=0.10,<=0.10,0.40 - 0.49,0.10 - 0.19,<=0.10,0.10 - 0.19,0.10 - 0.19,<=0.10,117,<=0.10,<=0.10,0.30 - 0.39,<=0.10,<=0.10,0.10 - 0.19,0.30 - 0.39,<=0.10,1,14,95,72162,76,69,65657,27,83564,28,79048,66,69086,22,83,51343
110662,001315,University of California-Los Angeles,Public,1,1603,"East Asian Languages, Literatures, and Linguistics.",3,Bachelor's Degree,48,36,33,15402,13900,31,14047,13900,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,147,147,9,20,34,26836,5,22,26,33993,31,PS,PS,PS,PS,PS,0.20 - 0.39,PS,PS,27,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,29,37711,24,21,26,37804,PS,PS,PS,PS,22,36793,9,36,23980,PS,PS,36,5,24,42261,PS,22,41321,PS,PS,PS,PS,19,44823,PS,23,32,PS,PS,0.60 - 0.79,PS,PS,PS,PS,PS,27,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,1,9,23,56910,20,PS,PS,PS,PS,PS,PS,PS,PS,PS,23,40445
110662,001315,University of California-Los Angeles,Public,1,1609,"Romance Languages, Literatures, and Linguistics.",3,Bachelor's Degree,87,85,65,15429,14752,62,14919,14000,11,PS,NA,11,PS,PS,26,17979,17413,25,16435,16768,PS,PS,NA,PS,PS,PS,39,13730,11328,37,13895,12900,PS,PS,NA,PS,PS,PS,54,15224,PS,51,14685,PS,PS,PS,PS,PS,PS,PS,11,PS,PS,11,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,156,148,7,42,62,33059,10,44,66,27618,87,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,0.20 - 0.39,<=0.20,<=0.20,89,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,PS,PS,PS,PS,PS,PS,PS,PS,72,41047,56,42,58,38080,PS,PS,PS,PS,62,37994,12,40,26966,18,PS,37,7,69,55337,PS,55,54236,PS,PS,PS,PS,58,55469,PS,60,49,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,89,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,1,7,78,60038,64,59,59034,20,65968,20,65479,61,59138,20,69,43502
