UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,DEBT_ALL_STGP_ANY_N,DEBT_ALL_STGP_ANY_MEAN,DEBT_ALL_STGP_ANY_MDN,DEBT_ALL_STGP_EVAL_N,DEBT_ALL_STGP_EVAL_MEAN,DEBT_ALL_STGP_EVAL_MDN,DEBT_ALL_PP_ANY_N,DEBT_ALL_PP_ANY_MEAN,DEBT_ALL_PP_ANY_MDN,DEBT_ALL_PP_EVAL_N,DEBT_ALL_PP_EVAL_MEAN,DEBT_ALL_PP_EVAL_MDN,DEBT_MALE_STGP_ANY_N,DEBT_MALE_STGP_ANY_MEAN,DEBT_MALE_STGP_ANY_MDN,DEBT_MALE_STGP_EVAL_N,DEBT_MALE_STGP_EVAL_MEAN,DEBT_MALE_STGP_EVAL_MDN,DEBT_MALE_PP_ANY_N,DEBT_MALE_PP_ANY_MEAN,DEBT_MALE_PP_ANY_MDN,DEBT_MALE_PP_EVAL_N,DEBT_MALE_PP_EVAL_MEAN,DEBT_MALE_PP_EVAL_MDN,DEBT_NOTMALE_STGP_ANY_N,DEBT_NOTMALE_STGP_ANY_MEAN,DEBT_NOTMALE_STGP_ANY_MDN,DEBT_NOTMALE_STGP_EVAL_N,DEBT_NOTMALE_STGP_EVAL_MEAN,DEBT_NOTMALE_STGP_EVAL_MDN,DEBT_NOTMALE_PP_ANY_N,DEBT_NOTMALE_PP_ANY_MEAN,DEBT_NOTMALE_PP_ANY_MDN,DEBT_NOTMALE_PP_EVAL_N,DEBT_NOTMALE_PP_EVAL_MEAN,DEBT_NOTMALE_PP_EVAL_MDN,DEBT_PELL_STGP_ANY_N,DEBT_PELL_STGP_ANY_MEAN,DEBT_PELL_STGP_ANY_MDN,DEBT_PELL_STGP_EVAL_N,DEBT_PELL_STGP_EVAL_MEAN,DEBT_PELL_STGP_EVAL_MDN,DEBT_PELL_PP_ANY_N,DEBT_PELL_PP_ANY_MEAN,DEBT_PELL_PP_ANY_MDN,DEBT_PELL_PP_EVAL_N,DEBT_PELL_PP_EVAL_MEAN,DEBT_PELL_PP_EVAL_MDN,DEBT_NOPELL_STGP_ANY_N,DEBT_NOPELL_STGP_ANY_MEAN,DEBT_NOPELL_STGP_ANY_MDN,DEBT_NOPELL_STGP_EVAL_N,DEBT_NOPELL_STGP_EVAL_MEAN,DEBT_NOPELL_STGP_EVAL_MDN,DEBT_NOPELL_PP_ANY_N,DEBT_NOPELL_PP_ANY_MEAN,DEBT_NOPELL_PP_ANY_MDN,DEBT_NOPELL_PP_EVAL_N,DEBT_NOPELL_PP_EVAL_MEAN,DEBT_NOPELL_PP_EVAL_MDN,DEBT_ALL_PP_ANY_MDN10YRPAY,DEBT_ALL_PP_EVAL_MDN10YRPAY,DEBT_ALL_STGP_ANY_MDN10YRPAY,DEBT_ALL_STGP_EVAL_MDN10YRPAY,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,BBRR2_FED_COMP_N,BBRR2_FED_COMP_DFLT,BBRR2_FED_COMP_DLNQ,BBRR2_FED_COMP_FBR,BBRR2_FED_COMP_DFR,BBRR2_FED_COMP_NOPROG,BBRR2_FED_COMP_MAKEPROG,BBRR2_FED_COMP_PAIDINFULL,BBRR2_FED_COMP_DISCHARGE,BBRR3_FED_COMP_N,BBRR3_FED_COMP_DFLT,BBRR3_FED_COMP_DLNQ,BBRR3_FED_COMP_FBR,BBRR3_FED_COMP_DFR,BBRR3_FED_COMP_NOPROG,BBRR3_FED_COMP_MAKEPROG,BBRR3_FED_COMP_PAIDINFULL,BBRR3_FED_COMP_DISCHARGE,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR,BBRR1_FED_COMP_N,BBRR1_FED_COMP_DFLT,BBRR1_FED_COMP_DLNQ,BBRR1_FED_COMP_FBR,BBRR1_FED_COMP_DFR,BBRR1_FED_COMP_NOPROG,BBRR1_FED_COMP_MAKEPROG,BBRR1_FED_COMP_PAIDINFULL,BBRR1_FED_COMP_DISCHARGE,BBRR4_FED_COMP_N,BBRR4_FED_COMP_DFLT,BBRR4_FED_COMP_DLNQ,BBRR4_FED_COMP_FBR,BBRR4_FED_COMP_DFR,BBRR4_FED_COMP_NOPROG,BBRR4_FED_COMP_MAKEPROG,BBRR4_FED_COMP_PAIDINFULL,BBRR4_FED_COMP_DISCHARGE,DISTANCE,EARN_COUNT_NWNE_5YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR,EARN_GT_THRESHOLD_5YR,EARN_COUNT_PELL_WNE_5YR,EARN_PELL_WNE_MDN_5YR,EARN_COUNT_NOPELL_WNE_5YR,EARN_NOPELL_WNE_MDN_5YR,EARN_COUNT_MALE_WNE_5YR,EARN_MALE_WNE_MDN_5YR,EARN_COUNT_NOMALE_WNE_5YR,EARN_NOMALE_WNE_MDN_5YR,EARN_COUNT_HIGH_CRED_5YR,EARN_IN_STATE_5YR,EARN_AVG_1YR_5YR
110662,001315,University of California-Los Angeles,Public,1,2301,"English Language and Literature, General.",3,Bachelor's Degree,341,300,277,14771,14376,271,13939,13534,78,27370,15594,73,28058,16703,79,16181,15000,76,15468,14999,22,23244,8307,20,24998,13654,198,14208,14007,195,13343,13000,56,28990,16853,53,29213,16703,192,15331,14347,188,14325,13727,37,18459,6989,36,17902,6820,85,13507,14749,83,13065,13191,41,35411,26521,37,37940,31695,185,199,152,143,34,158,250,27063,33,168,243,29503,305,<=0.05,<=0.05,0.10 - 0.14,0.10 - 0.14,0.10 - 0.14,0.40 - 0.44,0.15 - 0.19,<=0.05,276,<=0.05,<=0.05,0.10 - 0.14,0.15 - 0.19,0.10 - 0.14,0.40 - 0.44,0.15 - 0.19,<=0.05,191,25674,78,32564,73,29109,195,26774,253,39785,221,184,182,38341,71,43557,79,31797,173,42887,33,268,27889,124,PS,249,22,233,52432,170,167,50590,66,54582,71,44078,163,53983,35,206,260,<=0.05,<=0.05,0.45 - 0.49,0.10 - 0.14,0.10 - 0.14,0.15 - 0.19,0.05 - 0.09,<=0.05,276,<=0.05,<=0.05,0.40 - 0.44,0.10 - 0.14,<=0.05,0.10 - 0.14,0.20 - 0.24,<=0.05,1,23,243,59794,197,171,58797,73,60496,68,43738,174,63087,55,216,43841.5
110662,001315,University of California-Los Angeles,Public,1,2314,Literature.,3,Bachelor's Degree,35,36,32,15174,13093,30,12920,13328,PS,PS,NA,PS,PS,PS,13,PS,PS,13,PS,PS,PS,PS,NA,PS,PS,PS,19,12719,PS,17,11504,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,139,141,1,PS,PS,PS,0,13,20,25194,22,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,29,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,22,35429,20,PS,18,33486,PS,PS,PS,PS,PS,PS,5,26,22704,PS,PS,24,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,19,PS,PS,PS,PS,PS,PS,PS,PS,29,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,1,1,22,36428,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,19,29566
110662,001315,University of California-Los Angeles,Public,1,2601,"Biology, General.",3,Bachelor's Degree,562,523,451,16390,16028,449,16249,15527,123,41913,27177,122,41812,27284,164,PS,16594,164,PS,16070,53,PS,37558,53,PS,37558,287,16221,16000,285,16108,15169,70,42543,26045,69,43029,27104,282,PS,14526,282,PS,14500,42,PS,8793,42,PS,8793,169,17962,19500,167,17935,19500,81,52436,52311,80,52415,52113,323,324,170,165,46,200,312,24167,28,100,158,25484,374,<=0.05,<=0.05,0.10 - 0.14,0.25 - 0.29,0.05 - 0.09,0.25 - 0.29,0.20 - 0.24,<=0.05,335,<=0.05,<=0.05,0.05 - 0.09,0.25 - 0.29,0.05 - 0.09,0.20 - 0.24,0.30 - 0.34,<=0.05,245,28509,100,27869,137,26632,208,29356,153,31669,110,76,108,29751,45,48711,55,34737,97,30278,45,345,28242,163,PS,318,23,138,55250,100,94,52314,43,67184,53,62977,85,53096,36,122,362,<=0.05,<=0.05,0.40 - 0.44,0.15 - 0.19,0.05 - 0.09,0.10 - 0.14,0.20 - 0.24,<=0.05,335,<=0.05,<=0.05,0.20 - 0.24,0.25 - 0.29,<=0.05,0.10 - 0.14,0.35 - 0.39,<=0.05,1,16,183,75609,157,128,72980,56,77840,76,79247,109,70168,87,160,51925.5
110662,001315,University of California-Los Angeles,Public,1,2602,"Biochemistry, Biophysics and Molecular Biology.",3,Bachelor's Degree,240,231,163,PS,14920,163,PS,14753,43,41180,31072,42,41463,31112,84,PS,14559,84,PS,14476,17,37786,NA,16,38315,PS,79,PS,15000,79,PS,14775,26,PS,NA,26,PS,PS,100,PS,14016,100,PS,13446,13,15072,PS,12,13885,PS,63,PS,17298,63,PS,17298,30,PS,PS,30,PS,PS,369,370,158,156,17,94,142,30054,16,61,93,28598,146,<=0.10,<=0.10,<=0.10,0.20 - 0.29,<=0.10,0.30 - 0.39,0.20 - 0.29,<=0.10,142,<=0.10,<=0.10,<=0.10,0.40 - 0.49,<=0.10,0.10 - 0.19,0.30 - 0.39,<=0.10,103,36875,42,25123,76,39330,69,29746,88,41010,66,57,74,37032,PS,PS,43,40243,44,40793,15,144,35210,81,PS,131,15,64,61419,PS,53,60709,PS,PS,31,72557,34,56459,PS,58,145,<=0.10,<=0.10,0.30 - 0.39,0.10 - 0.19,<=0.10,0.10 - 0.19,0.20 - 0.29,<=0.10,142,<=0.10,<=0.10,0.10 - 0.19,0.40 - 0.49,<=0.10,<=0.10,0.30 - 0.39,<=0.10,1,6,93,76967,82,PS,PS,PS,PS,42,81433,51,74465,36,83,56088.5
110662,001315,University of California-Los Angeles,Public,1,2604,Cell/Cellular Biology and Anatomical Sciences.,3,Bachelor's Degree,263,263,173,16909,15848,171,16476,15277,58,52311,37565,57,51978,37198,70,17232,17550,68,17058,15305,18,48342,NA,17,50835,PS,103,PS,15500,103,PS,15000,40,PS,NA,40,PS,PS,93,15965,13611,91,15432,13241,16,32855,PS,15,34647,PS,80,PS,18075,80,PS,16547,42,PS,PS,42,PS,PS,447,442,168,162,12,54,87,22481,11,35,56,28753,93,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,<=0.20,83,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,<=0.20,91,32244,50,41668,60,33172,80,37776,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,31,140,36945,79,PS,131,6,35,55461,PS,23,60313,PS,PS,PS,PS,20,51590,PS,29,123,<=0.10,<=0.10,0.40 - 0.49,0.20 - 0.29,<=0.10,0.10 - 0.19,0.10 - 0.19,<=0.10,83,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,<=0.20,1,5,40,64799,37,PS,PS,PS,PS,17,64959,24,67203,17,28,50872
110662,001315,University of California-Los Angeles,Public,1,2605,Microbiological Sciences and Immunology.,3,Bachelor's Degree,130,139,103,14810,14000,100,15062,14545,36,PS,14665,36,PS,14665,34,13650,13568,33,14004,13972,13,PS,NA,13,PS,PS,69,15382,14948,67,15583,14975,23,PS,NA,23,PS,PS,50,13798,12153,49,13876,13165,12,PS,PS,12,PS,PS,53,15765,15000,51,16202,15000,24,PS,PS,24,PS,PS,174,174,148,154,10,55,83,27430,15,56,71,32925,101,<=0.10,<=0.10,<=0.10,0.30 - 0.39,<=0.10,0.20 - 0.29,0.20 - 0.29,<=0.10,102,<=0.10,<=0.10,<=0.10,0.20 - 0.29,<=0.10,0.20 - 0.29,0.30 - 0.39,<=0.10,51,34612,43,37924,37,28954,57,43744,66,41547,53,43,43,41508,PS,PS,31,41223,35,42834,8,94,36403,53,PS,89,7,57,49690,PS,37,47832,21,67368,30,49494,PS,PS,PS,52,89,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,102,<=0.10,<=0.10,0.20 - 0.29,0.20 - 0.29,<=0.10,<=0.10,0.30 - 0.39,<=0.10,1,8,70,77994,58,46,69043,23,80423,31,83254,40,70241,26,62,57198.5
110662,001315,University of California-Los Angeles,Public,1,2609,"Physiology, Pathology and Related Sciences.",3,Bachelor's Degree,202,220,135,PS,17049,135,PS,16900,43,47005,24728,42,47227,24864,49,PS,19083,49,PS,19000,15,PS,NA,15,PS,PS,86,PS,16078,86,PS,16078,28,58513,NA,27,60217,PS,67,PS,14920,67,PS,14666,14,PS,PS,14,PS,PS,68,PS,19291,68,PS,19291,29,57200,PS,28,58796,PS,294,296,181,179,8,38,87,16804,6,37,70,21508,105,<=0.10,<=0.10,<=0.10,0.20 - 0.29,<=0.10,0.20 - 0.29,0.30 - 0.39,<=0.10,104,<=0.10,<=0.10,<=0.10,0.40 - 0.49,<=0.10,0.10 - 0.19,0.30 - 0.39,<=0.10,64,25367,47,21281,48,22769,64,24553,49,28878,35,24,35,30528,PS,PS,22,13138,PS,PS,16,111,23151,44,PS,97,9,41,40318,PS,30,38471,PS,PS,16,29537,24,52963,PS,32,95,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,104,<=0.10,<=0.10,0.10 - 0.19,0.30 - 0.39,<=0.10,<=0.10,0.30 - 0.39,<=0.10,1,9,56,77228,54,36,89806,21,67931,19,80224,37,70679,31,39,50189.5
110662,001315,University of California-Los Angeles,Public,1,2613,"Ecology, Evolution, Systematics, and Population Biology.",3,Bachelor's Degree,50,40,24,PS,17417,24,PS,17417,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,185,185,2,PS,18,24879,PS,PS,PS,PS,23,PS,PS,PS,PS,PS,PS,PS,PS,15,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,0,26,18728,PS,PS,21,1,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,18,PS,PS,PS,PS,PS,PS,PS,PS,15,PS,PS,PS,PS,PS,PS,PS,PS,1,1,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,18728
110662,001315,University of California-Los Angeles,Public,1,2615,Neurobiology and Neurosciences.,3,Bachelor's Degree,180,177,130,16807,17149,127,16643,16674,49,54756,40167,48,54693,39565,58,17353,18638,56,17789,18888,26,54782,43233,25,54662,38964,72,16367,15000,71,15738,15000,23,PS,40167,23,PS,40167,78,15964,13625,77,15650,13500,18,36052,PS,17,34773,PS,52,18071,18647,50,18171,18647,31,PS,PS,31,PS,PS,478,470,182,177,13,69,103,29779,3,48,67,33459,100,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,91,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,72,30493,39,31594,46,29096,63,35669,52,48332,44,39,35,50727,17,45368,29,43594,23,54190,12,109,30501,60,PS,88,4,55,61875,PS,38,56342,16,62483,25,58974,30,61898,PS,51,111,<=0.10,<=0.10,0.30 - 0.39,0.10 - 0.19,<=0.10,0.10 - 0.19,0.20 - 0.29,<=0.10,91,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.40 - 0.59,<=0.20,1,5,54,79689,51,37,80098,17,74999,22,81208,32,79064,PS,47,55095
110662,001315,University of California-Los Angeles,Public,1,2701,Mathematics.,3,Bachelor's Degree,145,175,67,PS,14920,67,PS,14920,15,35616,NA,14,36051,PS,48,PS,13960,48,PS,13960,PS,PS,NA,PS,PS,PS,19,PS,18000,19,PS,15000,PS,PS,NA,PS,PS,PS,41,PS,14920,41,PS,14920,PS,PS,PS,PS,PS,PS,26,PS,14000,26,PS,14000,PS,PS,PS,PS,PS,PS,PS,PS,158,158,8,51,60,50739,8,63,82,53775,64,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,78,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,28,26026,PS,PS,PS,PS,PS,PS,90,55053,72,57,74,53668,17,54648,50,49714,41,59942,12,45,38449,27,PS,41,10,89,77892,PS,70,72863,19,93015,46,80358,43,75650,17,76,67,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,78,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,1,10,88,91295,77,PS,PS,PS,PS,49,80805,39,93194,18,73,64872
110662,001315,University of California-Los Angeles,Public,1,2703,Applied Mathematics.,3,Bachelor's Degree,345,356,139,15419,14400,135,15108,14400,35,52850,43547,34,51004,41374,80,14599,13793,79,14251,14000,22,61176,NA,21,61626,PS,59,16531,15000,56,16318,15000,13,PS,NA,13,PS,PS,79,14628,13586,78,14284,13543,PS,PS,PS,PS,PS,PS,60,16460,15000,57,16236,15000,PS,PS,PS,PS,PS,PS,518,492,153,153,16,100,128,51707,6,68,77,49527,83,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,73,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.40 - 0.59,0.20 - 0.39,<=0.20,79,50679,51,81917,71,58685,59,66425,82,64956,76,70,64,59670,18,93085,50,64873,33,66983,14,130,61188,104,PS,102,7,80,81414,PS,62,79590,18,107335,46,90179,34,76946,PS,70,101,<=0.10,<=0.10,0.40 - 0.49,<=0.10,<=0.10,0.10 - 0.19,0.20 - 0.29,<=0.10,73,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,0.20 - 0.39,0.20 - 0.39,<=0.20,1,7,84,95647,78,64,94700,19,113643,47,93307,36,97390,PS,69,78417.5
110662,001315,University of California-Los Angeles,Public,1,2705,Statistics.,3,Bachelor's Degree,239,189,81,PS,17005,81,PS,15811,20,39232,23460,19,40444,24370,43,PS,18000,43,PS,17005,PS,PS,NA,PS,PS,PS,38,PS,16503,38,PS,15405,PS,PS,NA,PS,PS,PS,56,PS,15000,56,PS,14945,10,PS,PS,PS,PS,PS,25,PS,19500,25,PS,19500,10,39298,PS,PS,PS,PS,279,290,180,168,5,57,67,56134,3,36,41,52524,50,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,39,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,71,56837,24,67614,51,58466,45,61416,40,64486,35,33,29,59174,PS,PS,20,73880,20,62612,6,96,59718,77,PS,84,5,40,77720,PS,27,67410,PS,PS,18,85326,22,72389,PS,33,76,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,39,PS,PS,PS,PS,PS,PS,0.40 - 0.59,PS,1,3,42,94154,38,PS,PS,PS,PS,20,117399,21,93198,PS,35,76936
110662,001315,University of California-Los Angeles,Public,1,3020,International/Global Studies.,3,Bachelor's Degree,43,42,23,PS,12000,23,PS,12000,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,NA,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,127,127,4,17,24,43229,3,20,27,43798,29,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,29,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,30,53535,27,22,PS,PS,PS,PS,PS,PS,20,66190,3,26,39082,17,PS,23,2,24,59381,PS,17,55738,PS,PS,PS,PS,17,85827,PS,20,20,PS,PS,PS,PS,PS,PS,PS,PS,29,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,1,2,25,77658,23,PS,PS,PS,PS,PS,PS,PS,PS,PS,22,58370
110662,001315,University of California-Los Angeles,Public,1,3025,Cognitive Science.,3,Bachelor's Degree,181,212,86,PS,13000,86,PS,13000,16,PS,NA,16,PS,PS,24,PS,14081,24,PS,13250,PS,PS,NA,PS,PS,PS,62,PS,12647,62,PS,12647,PS,PS,NA,PS,PS,PS,50,PS,12175,50,PS,12175,PS,PS,PS,PS,PS,PS,36,PS,13500,36,PS,13500,PS,PS,PS,PS,PS,PS,PS,PS,138,138,4,35,46,43778,1,19,24,42682,31,PS,PS,PS,PS,PS,0.20 - 0.39,PS,PS,29,PS,PS,PS,PS,PS,0.40 - 0.59,PS,PS,52,53044,27,62446,PS,PS,50,53337,22,45502,19,PS,PS,PS,PS,PS,PS,PS,PS,PS,11,79,53962,60,PS,75,2,18,62158,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,49,PS,PS,0.40 - 0.59,PS,PS,PS,0.20 - 0.39,PS,29,PS,PS,0.20 - 0.39,PS,PS,PS,PS,PS,1,1,20,78267,17,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,66114.5
110662,001315,University of California-Los Angeles,Public,1,3027,Human Biology.,3,Bachelor's Degree,128,165,89,13999,12500,88,13987,12750,30,39252,26312,29,40076,26449,15,PS,PS,15,PS,PS,PS,PS,NA,PS,PS,PS,74,14201,PS,73,14189,PS,PS,PS,NA,PS,PS,PS,53,PS,13000,53,PS,13000,PS,PS,PS,PS,PS,PS,36,14353,12493,35,14448,12500,PS,PS,PS,PS,PS,PS,313,315,133,135,1,PS,PS,PS,4,24,33,32925,41,PS,PS,PS,0.20 - 0.39,PS,0.20 - 0.39,PS,PS,45,PS,PS,PS,0.40 - 0.59,PS,PS,0.20 - 0.39,PS,54,30476,28,39153,PS,PS,PS,PS,25,52476,16,PS,PS,PS,PS,PS,PS,PS,PS,PS,5,80,33628,43,PS,76,6,17,73339,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,17,65,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,45,PS,PS,PS,0.20 - 0.39,PS,PS,0.20 - 0.39,PS,1,4,21,81505,19,PS,PS,PS,PS,PS,PS,PS,PS,PS,20,57566.5
110662,001315,University of California-Los Angeles,Public,1,3099,"Multi/Interdisciplinary Studies, Other.",3,Bachelor's Degree,234,59,130,15093,15000,126,14825,14775,49,43474,29584,48,42969,31844,19,PS,18750,19,PS,15000,PS,PS,NA,PS,PS,PS,111,14567,14920,107,14702,14545,PS,PS,NA,PS,PS,PS,63,15308,14920,60,14807,13639,14,PS,PS,14,PS,PS,67,14891,15000,66,14842,15000,35,55279,PS,34,54914,PS,352,379,159,157,8,137,169,36925,10,124,146,43957,138,<=0.10,<=0.10,<=0.10,<=0.10,0.10 - 0.19,0.50 - 0.59,0.20 - 0.29,<=0.10,134,<=0.10,<=0.10,<=0.10,<=0.10,<=0.10,0.40 - 0.49,0.30 - 0.39,<=0.10,94,42332,69,48547,28,35051,135,48048,150,58896,140,123,93,58278,56,59632,21,58131,128,58781,8,163,46154,113,PS,141,11,147,65593,124,91,67493,55,65887,20,61861,127,66377,PS,126,124,<=0.10,<=0.10,0.40 - 0.49,<=0.10,<=0.10,0.20 - 0.29,0.10 - 0.19,<=0.10,134,<=0.10,<=0.10,0.30 - 0.39,<=0.10,<=0.10,0.20 - 0.29,0.30 - 0.39,<=0.10,1,16,142,85005,127,89,81963,54,92681,20,61384,122,89052,PS,121,65579.5
110662,001315,University of California-Los Angeles,Public,1,3801,Philosophy.,3,Bachelor's Degree,130,160,111,15950,15000,108,15267,15000,23,31875,20933,21,30496,17100,63,PS,15000,63,PS,15000,PS,PS,NA,PS,PS,PS,48,15982,15000,45,15381,15000,PS,PS,NA,PS,PS,PS,78,16325,15000,77,15548,15000,PS,PS,PS,PS,PS,PS,33,15061,15000,31,14570,15000,PS,PS,PS,PS,PS,PS,249,203,159,159,23,PS,PS,PS,20,43,62,29322,106,<=0.10,<=0.10,0.10 - 0.19,0.10 - 0.19,0.10 - 0.19,0.30 - 0.39,0.10 - 0.19,<=0.10,93,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,0.20 - 0.39,<=0.20,<=0.20,75,30766,19,29854,56,29118,39,35898,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,PS,17,95,30182,48,PS,88,18,71,43881,47,54,43849,PS,PS,47,43314,22,45635,PS,59,101,<=0.10,<=0.10,0.50 - 0.59,0.10 - 0.19,0.10 - 0.19,0.10 - 0.19,0.10 - 0.19,<=0.10,93,<=0.20,<=0.20,0.40 - 0.59,<=0.20,<=0.20,<=0.20,<=0.20,<=0.20,1,17,76,53585,55,PS,PS,PS,PS,47,49370,29,57781,23,65,41883.5
